rang,id,author,author_short,year,title,journal,type,langue,doi,url,number_citations,citations_source,citations_google_scholar,citations_google_scholar_date,citations_score,citations_score_source,citations_imputees,citations_utilisees,recurrence,cite_par,bibliographie_depouillee,round,direction,found_via,statut,c1,c2,c3,c4,pertinence_thematique,cit_norm,year_norm,pert_norm,score,citationAuteurAnnee,etiquette,notes,rang_inclus
56,marion1972,"Marion, Gérald; Raynauld, André",,1972,Une analyse économique de la disparité inter-ethnique des revenus,"Revue économique, 23(1), 1-19",article,fr,10.3406/reco.1972.408007,,35.0,Consensus/Semantic Scholar 2026-09,,,84.0,Consensus calibré (x2.41),0,84.0,23,beland2010; boulet1980; breton1978; carliner1981; coleman1984; fenwick1982; lacroix1981; laczko1995; lanphier1974; levine1990; mcroberts1988; ram1980; raynauld1974; raynauld1975; sales1985; shapiro1981; vaillancourt1978; vaillancourt1979; vaillancourt1980; vaillancourt1985; vaillancourt1996; veltman1976; veltman1979,1,1,backward,Consensus,inclus,2,2,1,1,6,0.5630588111868375,0.36904761904761907,0.27710843373493976,0.403,"(Marion et Raynauld, 1972)","Une analyse économique de la disparité inter-ethnique d... (Marion et Raynauld, 1972)",Applique la théorie du commerce international (tarif optimal) aux disparités de revenu entre groupes anglophone (capital abondant) et francophone (travail abondant) au Québec ; limitation des échanges entre 'secteurs' ethniques comme explication de l'inégalité.,43.0
57,ogmundson1992,"Ogmundson, Rick; McLaughlin, J.",,1992,Trends in the ethnic origins of Canadian elites: The decline of the BRITS?,"Canadian Review of Sociology and Anthropology, 29(2), 227-242",article,en,10.1111/j.1755-618x.1992.tb02437.x,,24.0,Consensus/Semantic Scholar 2026-09,,,58.0,Consensus calibré (x2.41),0,58.0,6,helmeshayes1998; laczko1995; lian1998; nakhaie1994; nakhaie1997; wanner2005,1,3,forward,citant porter1965 (Consensus),inclus,2,2,1,1,6,0.5167845174390575,0.6071428571428571,0.07228915662650602,0.399,"(Ogmundson et McLaughlin, 1992)","Trends in the ethnic origins of Canadian elites: The de... (Ogmundson et McLaughlin, 1992)",Réexamen des données de Porter sur les élites : la stratification ethnique est plus faible que prévu et en déclin ; nouvelles données sur l'origine ethnique (dont française) des élites canadiennes.,44.0
58,vaillancourt1991,"Vaillancourt, François",,1991,"Langues et statut économique au Québec, 1980-1985","Québec : Conseil de la langue française, coll. Dossiers no 34",report,fr,,,,non indexé dans Consensus,,,31.0,imputé (médiane),1,31.0,13,beland2010; christofides1998; laczko1995; nadeau2010; shapiro1997; vaillancourt1996; vaillancourt2001; vaillancourt2007; vaillancourt2013; vaillancourt2017; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,1,backward,bibliographie nadeau2010 (IDEAS),inclus,2,2,1,1,6,0.43924517695759147,0.5952380952380952,0.1566265060240964,0.397,"(Vaillancourt, 1991)","Langues et statut économique au Québec, 1980-1985 (Vaillancourt, 1991)",Recensement 1986 (revenus 1985) comparé à 1980 : poursuite de la convergence ; avantage des bilingues.,45.0
59,sales1985,"Sales, Arnaud; Bélanger, Noël",,1985,Décideurs et gestionnaires : étude sur la direction et l'encadrement des secteurs privé et public,"Québec : Conseil de la langue française, coll. Dossiers no 20",report,fr,,,,non indexé dans Consensus,,,31.0,imputé (médiane),1,31.0,17,helmeshayes1998; laczko1995; levine1990; mcroberts1988; nakhaie1997; ogmundson1992; shapiro1997; vaillancourt1985; vaillancourt1988; vaillancourt1989; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2005; vaillancourt2007; vaillancourt2018; vaillancourt2024b,1,2,backward,"bibliographies vaillancourt1996, levine1990 (connaissance du texte)",inclus,2,2,1,1,6,0.43924517695759147,0.5238095238095238,0.20481927710843373,0.389,"(Sales et Bélanger, 1985)","Décideurs et gestionnaires : étude sur la direction et... (Sales et Bélanger, 1985)",Statut socioprofessionnel : présence des francophones et des anglophones dans les postes de direction et d'encadrement (secteurs privé et public) au Québec au début des années 1980 ; comparaison avec 1961-1971.,46.0
60,mcroberts1976,"McRoberts, Hugh A.; Porter, John; Boyd, Monica; Goyder, John; Jones, Frank E.; Pineo, Peter C.",,1976,Différences dans la mobilité professionnelle des francophones et des anglophones,"Sociologie et sociétés, 8(2), 61-79",article,fr,10.7202/001491ar,,15.0,Consensus/Semantic Scholar 2026-09,,,36.0,Consensus calibré (x2.41),0,36.0,24,beland1982; beland1987; beland2010; blishen1987; boulet1981; boyd1985; coleman1984; darroch1979; fenwick1982; helmeshayes1998; herberg1990; laczko1995; lautard1990; lian1998; mcroberts1979; mcroberts1988; nakhaie1994; nakhaie1997; ogmundson1992; ram1980; sales1985; vaillancourt1980; wanner1999; wanner2005,1,1,backward,Consensus ; connaissance du texte (Canadian Mobility Study 1973),inclus,2,2,1,1,6,0.4576454530876017,0.4166666666666667,0.2891566265060241,0.388,"(McRoberts et al., 1976)","Différences dans la mobilité professionnelle des franco... (McRoberts et al., 1976)",Statut socioprofessionnel : Canadian Mobility Study (1973) ; les différences de mobilité entre francophones du Québec et anglophones du Canada subsistent mais sont beaucoup plus faibles dans les cohortes récentes ; le modèle traditionnel de stratification linguistique est peut-être en train de disparaître.,47.0
61,shapiro1981,"Shapiro, Daniel M.; Stelcner, Morton",,1981,"Male-female earnings differentials and the role of language in Canada, Ontario, and Quebec, 1970","Canadian Journal of Economics, 14(2), 341-348",article,en,10.2307/134804,,42.0,Consensus/Semantic Scholar 2026-09,65.0,2026-09-03,65.0,Google Scholar,0,65.0,13,bloom1992; boulet1983; chiswick1988; grenier1984; grenier1987; lacroix1981; levine1990; shapiro1982; shapiro1987; shapiro1997; vaillancourt1985; vaillancourt1988; vaillancourt1996,1,1,backward,Consensus,inclus,2,2,1,1,6,0.5309941929118058,0.47619047619047616,0.1566265060240964,0.388,"(Shapiro et Stelcner, 1981)","Male-female earnings differentials and the role of lang... (Shapiro et Stelcner, 1981)",Décomposition des écarts hommes-femmes 1970 avec variables linguistiques (définition large) au Québec ; montre l'interaction sexe/langue.,48.0
62,vaillancourt1989,"Vaillancourt, François; Carpentier, Josée",,1989,Le contrôle de l'économie du Québec : la place des francophones en 1987 et son évolution depuis 1961,Québec : Office de la langue française / Les Publications du Québec,report,fr,,,,non indexé dans Consensus,,,31.0,imputé (médiane),1,31.0,11,albouy2008; laczko1995; levine1990; shapiro1997; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2005; vaillancourt2007; vaillancourt2018; vaillancourt2024b,1,2,backward,"bibliographies vaillancourt1996, levine1990, vaillancourt2005 (connaissance du texte)",inclus,2,2,1,1,6,0.43924517695759147,0.5714285714285714,0.13253012048192772,0.381,"(Vaillancourt et Carpentier, 1989)","Le contrôle de l'économie du Québec : la place des fran... (Vaillancourt et Carpentier, 1989)",Contrôle de l'économie : mise à jour de Raynauld (1974) pour 1978 et 1987 ; progression de la part francophone de l'emploi sous contrôle francophone.,49.0
63,mcroberts1988,"McRoberts, Kenneth",,1988,Quebec: Social Change and Political Crisis (3e éd.),Toronto : McClelland & Stewart,book,en,,,,non indexé dans Consensus,,,31.0,imputé (médiane),1,31.0,12,dean2022; floch2012; fortin2011; gagnon2023; geloso2025; helmeshayes1998; laczko1995; levine1990; nakhaie1997; ogmundson1992; pettinicchio2012; wanner1999,1,2,backward,"bibliographies levine1990, pettinicchio2012, gagnon2023 (connaissance du texte)",contexte,2,1,1,1,5,0.43924517695759147,0.5595238095238095,0.14457831325301204,0.381,"(McRoberts, 1988)","Quebec: Social Change and Political Crisis (3e éd.) (McRoberts, 1988)","Synthèse de la sociologie politique du Québec ; chapitres sur la division ethnique du travail, la 'nouvelle classe moyenne' et les politiques économiques de la Révolution tranquille.",
64,shapiro1987,"Shapiro, Daniel M.; Stelcner, Morton",,1987,"Earnings disparities among linguistic groups in Quebec, 1970-1980","Canadian Public Policy / Analyse de politiques, 13(1), 97-104",article,en,10.2307/3550913,,,,19.0,2026-09-03,19.0,Google Scholar,0,19.0,18,albouy2008; beland2010; bloom1992; chiswick1988; christofides1998; christofides2010; grenier1987; laczko1995; levine1990; mcroberts1988; nadeau2010; nakhaie1994; shapiro1997; vaillancourt1988; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2013,1,1,backward,bibliographie christofides2010 (IDEAS) ; connaissance du texte,inclus,2,2,1,1,6,0.3796772141673571,0.5476190476190477,0.21686746987951808,0.381,"(Shapiro et Stelcner, 1987)","Earnings disparities among linguistic groups in Quebec,... (Shapiro et Stelcner, 1987)",Comparaison 1970-1980 : réduction marquée des disparités de revenu entre anglophones et francophones au cours de la décennie 1970.,50.0
65,christofides2006,"Christofides, Louis N.; Swidinsky, Robert",,2006,Language in the public service,"Industrial Relations: A Journal of Economy and Society, 45(3)",article,en,10.1111/j.1468-232x.2006.00438.x,,5.0,Consensus/Semantic Scholar 2026-09,,,12.0,Consensus calibré (x2.41),0,12.0,3,christofides2010; grenier2016; nadeau2010,1,2,forward,Consensus,contexte,1,2,1,1,5,0.3250800597631568,0.7738095238095238,0.03614457831325301,0.378,"(Christofides et Swidinsky, 2006)","Language in the public service (Christofides et Swidinsky, 2006)",Prime au bilinguisme dans le secteur public vs privé au Canada sur trois recensements ; sélection ; pertinent pour la prime francophone du secteur public relevée par Nadeau (2010).,
66,mcroberts1979,"McRoberts, Kenneth",,1979,Internal colonialism: The case of Quebec,"Ethnic and Racial Studies, 2(3), 293-318",article,en,10.1080/01419870.1979.9993270,,46.0,Consensus/Semantic Scholar 2026-09,,,111.0,Consensus calibré (x2.41),0,111.0,7,coleman1984; fenwick1982; laczko1995; levine1990; mcroberts1988; pettinicchio2012; sales1985,1,1,backward,Consensus ; cité par pettinicchio2012,inclus,2,1,1,1,5,0.5980195634704647,0.4523809523809524,0.08433734939759036,0.378,"(McRoberts, 1979)","Internal colonialism: The case of Quebec (McRoberts, 1979)",Explication : applique (et critique) le modèle de la colonie interne (division culturelle du travail) au Québec ; inégalités de revenu et de statut entre francophones et anglophones comme fondement du nationalisme.,51.0
67,lanphier1974,"Lanphier, C. Michael; Morris, Raymond N.",,1974,Structural aspects of differences in income between anglophones and francophones,"Canadian Review of Sociology and Anthropology, 11(1), 53-66",article,en,10.1111/j.1755-618x.1974.tb00003.x,,3.0,Consensus/Semantic Scholar 2026-09,12.0,2026-09-03,12.0,Google Scholar,0,12.0,34,beland1982; beland1987; beland2010; boulet1980; boulet1981; boyd1985; breton1978; carliner1981; coleman1984; cuneo1975; darroch1979; fenwick1982; helmeshayes1998; herberg1990; lacroix1981; laczko1995; lautard1990; levine1990; mcroberts1976; mcroberts1979; mcroberts1988; nakhaie1994; nakhaie1997; ogmundson1992; ram1980; raynauld1975; sales1985; shapiro1981; vaillancourt1978; vaillancourt1979; vaillancourt1980; veltman1976; veltman1979; wanner1999,1,1,backward,cité par ram1980 ; réponse de Raynauld & Marion (1975),inclus,2,2,1,1,6,0.3250800597631568,0.39285714285714285,0.40963855421686746,0.376,"(Lanphier et Morris, 1974)","Structural aspects of differences in income between ang... (Lanphier et Morris, 1974)","Compare les données de Raynauld et al. (1961) à une enquête de 1968 : nivellement des écarts de revenu 1961-1968 au niveau national, mais accentuation chez les travailleurs peu qualifiés ; critique méthodologique et invocation de la discrimination.",52.0
68,lautard1990,"Lautard, Hugh; Guppy, Neil",,1990,The vertical mosaic revisited: Occupational differentials among Canadian ethnic groups,"In P. S. Li (dir.), Race and Ethnic Relations in Canada, Toronto : Oxford University Press, 189-208",chapter,en,,,,non indexé dans Consensus,,,31.0,imputé (médiane),1,31.0,8,helmeshayes1998; herberg1990; laczko1995; lian1998; nakhaie1994; nakhaie1997; ogmundson1992; wanner2005,1,3,forward,"citant porter1965 (connaissance du texte ; cité par lian1998, hou1996)",inclus,1,2,1,1,5,0.43924517695759147,0.5833333333333334,0.0963855421686747,0.373,"(Lautard et Guppy, 1990)","The vertical mosaic revisited: Occupational differentia... (Lautard et Guppy, 1990)",Indices de dissimilarité professionnelle par groupe ethnique 1931-1986 : la stratification ethnique diminue mais persiste ; position des Français par rapport aux Britanniques.,53.0
69,vaillancourt1985,"Vaillancourt, François (dir.)",,1985,Économie et langue,"Québec : Conseil de la langue française, coll. Documentation no 20",book,fr,,,,non indexé dans Consensus,,,31.0,imputé (médiane),1,31.0,13,bloom1992; grenier1987; laczko1995; levine1990; mcroberts1988; shapiro1987; shapiro1997; vaillancourt1988; vaillancourt1989; vaillancourt1991; vaillancourt1996; vaillancourt2001; vaillancourt2018,1,2,backward,"bibliographies vaillancourt1988, vaillancourt1996 (connaissance du texte)",contexte,2,2,1,1,6,0.43924517695759147,0.5238095238095238,0.1566265060240964,0.373,"(Vaillancourt, 1985)","Économie et langue (Vaillancourt, 1985)","Recueil de textes d'économie de la langue (Breton, Grenier, Vaillancourt, Lacroix) appliqués au Québec ; revenus et langue 1970-1980.",
70,cuneo1975,"Cuneo, Carl J.; Curtis, James E.",,1975,Social ascription in the educational and occupational status attainment of urban Canadians,"Canadian Review of Sociology and Anthropology, 12(1), 6-24",article,en,10.1111/j.1755-618x.1975.tb00023.x,,15.0,Consensus/Semantic Scholar 2026-09,,,36.0,Consensus calibré (x2.41),0,36.0,21,beland1982; beland1987; blishen1987; boulet1981; boyd1985; darroch1979; fenwick1982; helmeshayes1998; herberg1990; laczko1995; lautard1990; lian1998; mcroberts1976; nakhaie1994; nakhaie1997; ogmundson1992; ram1980; sales1985; vaillancourt1980; wanner1999; wanner2005,1,3,forward,citant blishen1958/porter1965 (Consensus),inclus,2,2,1,1,6,0.4576454530876017,0.40476190476190477,0.25301204819277107,0.372,"(Cuneo et Curtis, 1975)","Social ascription in the educational and occupational s... (Cuneo et Curtis, 1975)",Modèle Blau-Duncan appliqué à quatre sous-échantillons urbains (hommes/femmes francophones et anglophones) : forte ascription ; la scolarité pèse davantage sur la profession chez les francophones que chez les anglophones.,54.0
71,vaillancourt2024,"Vaillancourt, François; Sintes, Amélie; Grine, Feriel",,2024,"La rémunération des attributs linguistiques au Québec en 2020, son évolution depuis 1970 et le taux de rendement du bilinguisme des francophones en 2020","CIRANO, Rapport de projet",report,fr,10.54932/bpkc2426,,0.0,Consensus/Semantic Scholar 2026-09,1.0,2026-09-03,1.0,Google Scholar,0,1.0,2,donovan2024; vaillancourt2024b,1,0,seed,Consensus,inclus,2,2,1,1,6,0.0878490353915183,0.9880952380952381,0.024096385542168676,0.367,"(Vaillancourt et al., 2024)","La rémunération des attributs linguistiques au Québec e... (Vaillancourt et al., 2024)","Neuf recensements (1971-2021). En 2020 : bilingues (allophones, anglophones, francophones) en tête ; rupture nette entre 1970 et 1980-2020 dans la sur-rémunération des hommes anglophones ; anglophones désormais au niveau des unilingues francophones (effet net).",55.0
72,nakhaie1997,"Nakhaie, M. Reza",,1997,Vertical mosaic among the elites: The new imagery revisited,"Canadian Review of Sociology and Anthropology, 34(1), 1-24",article,en,10.1111/j.1755-618x.1997.tb00197.x,,9.0,Consensus/Semantic Scholar 2026-09,,,22.0,Consensus calibré (x2.41),0,22.0,3,helmeshayes1998; lian1998; wanner2005,1,3,forward,citant porter1965 (Consensus),inclus,2,2,1,1,6,0.3973905543733783,0.6666666666666666,0.03614457831325301,0.367,"(Nakhaie, 1997)","Vertical mosaic among the elites: The new imagery revis... (Nakhaie, 1997)",Élites canadiennes 1935-1987 : domination britannique stable ; les groupes d'origine française et 'autres' ont accru leur représentation dans les élites sans atteindre la proportionnalité.,56.0
73,raynauld1974,"Raynauld, André",,1974,La propriété des entreprises au Québec : les années 60,Montréal : Presses de l'Université de Montréal,book,fr,,,,non indexé dans Consensus,54.0,2026-09-03,54.0,Google Scholar,0,54.0,16,boulet1980; coleman1984; fortin2011; lacroix1981; levine1990; mcroberts1988; sales1985; shapiro1982; vaillancourt1980; vaillancourt1985; vaillancourt1989; vaillancourt1996; vaillancourt2005; vaillancourt2007; vaillancourt2018; vaillancourt2024b,1,1,backward,"cité dans Masters (1977) ; bibliographies vaillancourt1996, vaillancourt2024b",inclus,2,2,1,1,6,0.5078868740845259,0.39285714285714285,0.1927710843373494,0.365,"(Raynauld, 1974)","La propriété des entreprises au Québec : les années 60 (Raynauld, 1974)","Statut socioprofessionnel/contrôle : mesure de la propriété des entreprises au Québec en 1961 selon le groupe (canadien-français, canadien-anglais, étranger) ; référence de base de la série 1961-2023 sur le contrôle de l'économie.",57.0
74,coleman1984,"Coleman, William D.",,1984,"The Independence Movement in Quebec, 1945-1980",Toronto : University of Toronto Press,book,en,,,,non indexé dans Consensus (compte rendu APSR 1985),,,31.0,imputé (médiane),1,31.0,11,fortin2011; geloso2025; helmeshayes1998; laczko1995; levine1990; mcroberts1988; nakhaie1997; ogmundson1992; pettinicchio2012; sales1985; vaillancourt1989,1,2,backward,"Consensus (compte rendu) ; bibliographies levine1990, pettinicchio2012",contexte,2,1,1,1,5,0.43924517695759147,0.5119047619047619,0.13253012048192772,0.361,"(Coleman, 1984)","The Independence Movement in Quebec, 1945-1980 (Coleman, 1984)",Politiques économiques du Québec 1960-1980 visant à créer des entreprises contrôlées par la communauté francophone ; succès partiel dans l'accroissement du poids économique des francophones.,
75,dejocas1957,"de Jocas, Yves; Rocher, Guy",,1957,Inter-generation occupational mobility in the Province of Quebec,"Canadian Journal of Economics and Political Science, 23(1), 57-68",article,en,10.2307/138485,,23.0,Consensus/Semantic Scholar 2026-09,56.0,2026-09-03,56.0,Google Scholar,0,56.0,31,beattie1971; beattie1972; beland1982; beland1987; blishen1967; blishen1970; boulet1981; boyd1985; cuneo1975; darroch1979; dofny1962; dofny1969; fenwick1982; guindon1964; helmeshayes1998; herberg1990; laczko1995; lanphier1974; lautard1990; lieberson1970; mcroberts1976; mcroberts1988; porter1965; ram1980; raynauld1966; rcbb1969; sales1985; taylor1961; vaillancourt1980; wanner1999; wanner2005,1,2,backward,"cité par ram1980, mcroberts1976, beland1987 ; Consensus",inclus,2,2,0,1,5,0.512413761289192,0.19047619047619047,0.37349397590361444,0.359,"(de Jocas et Rocher, 1957)","Inter-generation occupational mobility in the Province... (de Jocas et Rocher, 1957)","Statut socioprofessionnel : première étude de mobilité intergénérationnelle au Québec (registres de mariage, 1954) comparant Canadiens français et anglophones ; mobilité plus faible et concentration des francophones dans les métiers manuels.",58.0
76,boulet1983,"Boulet, Jac-André; Lavallée, Laval",,1983,L'évolution des disparités linguistiques de revenus de travail au Canada de 1970 à 1980,"Ottawa : Conseil économique du Canada, Document no 245",report,fr,,,,,22.0,2026-09-03,22.0,Google Scholar,0,22.0,15,beland2010; bloom1992; chiswick1988; christofides1998; grenier1984; grenier1987; laczko1995; levine1990; shapiro1987; shapiro1997; vaillancourt1985; vaillancourt1988; vaillancourt1991; vaillancourt1996; vaillancourt2001,1,1,backward,"connaissance du texte (bibliographies shapiro1987, vaillancourt1996)",inclus,2,2,1,1,6,0.3973905543733783,0.5,0.18072289156626506,0.359,"(Boulet et Lavallée, 1983)","L'évolution des disparités linguistiques de revenus de... (Boulet et Lavallée, 1983)",1970-1980 : réduction des disparités de revenu de travail entre groupes linguistiques au Canada et au Québec ; les francophones bilingues rattrapent les anglophones.,59.0
77,fenwick1982,"Fenwick, Rudy",,1982,Ethnic culture and economic structure: Determinants of French-English earnings inequality in Quebec,"Social Forces, 61(1), 1-23",article,en,10.1093/sf/61.1.1,,12.0,Consensus/Semantic Scholar 2026-09,30.0,2026-09-03,30.0,Google Scholar,0,30.0,12,boyd1985; coleman1984; helmeshayes1998; herberg1990; laczko1995; lautard1990; levine1990; mcroberts1988; nakhaie1994; nakhaie1997; sales1985; wanner1999,1,1,backward,Consensus,inclus,2,2,1,1,6,0.435221367007706,0.4880952380952381,0.14457831325301204,0.356,"(Fenwick, 1982)","Ethnic culture and economic structure: Determinants of... (Fenwick, 1982)",Enquête 1970-71 : oppose l'explication culturelle (capital humain) à l'explication structurelle (marché du travail segmenté/scindé sous contrôle anglophone) ; l'inégalité tient à la plus grande efficacité avec laquelle les anglophones convertissent leurs positions structurelles en gains.,60.0
78,darroch1979,"Darroch, A. Gordon",,1979,"Another look at ethnicity, stratification and social mobility in Canada","Canadian Journal of Sociology, 4(1), 1-25",article,en,10.2307/3340349,,,"Consensus (fiche incomplète, 0 citation affichée)",,,31.0,imputé (médiane),1,31.0,14,beland1982; beland1987; blishen1987; boyd1985; helmeshayes1998; herberg1990; laczko1995; lautard1990; lian1998; nakhaie1994; nakhaie1997; ogmundson1992; wanner1999; wanner2005,1,3,forward,citant porter1965 (Consensus),inclus,1,2,1,1,5,0.43924517695759147,0.4523809523809524,0.1686746987951807,0.353,"(Darroch, 1979)","Another look at ethnicity, stratification and social mo... (Darroch, 1979)",Réexamen des données de Porter (1931-1961) et Forcese (1971) : la dissimilarité professionnelle entre groupes ethniques (dont Français/Britanniques) est modeste et diminue avec le temps ; critique de la thèse de la mosaïque verticale.,61.0
79,beattie1971,"Beattie, Christopher; Spencer, Byron G.",,1971,"Career attainment in Canadian bureaucracies: Unscrambling the effects of age, seniority, education, and ethnolinguistic factors on salary","American Journal of Sociology, 77(3), 472-490",article,en,10.1086/225159,,20.0,Consensus/Semantic Scholar 2026-09,,,48.0,Consensus calibré (x2.41),0,48.0,17,beattie1972; boulet1980; boyd1985; cuneo1975; darroch1979; fenwick1982; herberg1990; laczko1995; lanphier1974; lautard1990; mcroberts1976; nakhaie1997; ram1980; sales1985; vaillancourt1978; vaillancourt1980; wanner1999,1,3,backward,cité par ram1980 ; Consensus,inclus,2,2,1,1,6,0.4932468438087831,0.35714285714285715,0.20481927710843373,0.352,"(Beattie et Spencer, 1971)","Career attainment in Canadian bureaucracies: Unscrambli... (Beattie et Spencer, 1971)","Fonction publique fédérale (années 1960) : âge, ancienneté et scolarité rapportent moins aux francophones qu'aux anglophones ; la discrimination de carrière est le principal facteur des écarts salariaux.",62.0
80,veltman1979,"Veltman, Calvin J.; Boulet, Jac-André; Castonguay, Charles",,1979,The economic context of bilingualism and language transfer in the Montreal metropolitan area,"Canadian Journal of Economics, 12(3), 468-479",article,en,10.2307/134735,,24.0,Consensus/Semantic Scholar 2026-09,,,58.0,Consensus calibré (x2.41),0,58.0,6,boulet1980; boulet1981; lacroix1981; laczko1995; levine1990; vaillancourt1985,1,4,backward,Scholar Gateway (note 42 de Cameron et Krikorian 2002) ; Consensus,inclus,2,2,1,1,6,0.5167845174390575,0.4523809523809524,0.07228915662650602,0.347,"(Veltman et al., 1979)","The economic context of bilingualism and language trans... (Veltman et al., 1979)","Recensement 1971, RMR de Montréal : contexte économique du bilinguisme et des transferts linguistiques ; revenus par groupe linguistique et incitations économiques à l'anglicisation.",63.0
81,taylor1961,"Taylor, Norman W.",,1961,L'industriel canadien-français et son milieu,"Recherches sociographiques, 2(2), 123-150",article,fr,10.7202/055075ar,,18.0,Consensus/Semantic Scholar 2026-09,49.0,2026-09-03,49.0,Google Scholar,0,49.0,24,beattie1971; beattie1972; coleman1984; darroch1979; dofny1962; dofny1969; fenwick1982; fortin2011; geloso2025; guindon1964; laczko1995; lanphier1974; levine1990; lieberson1970; mcroberts1979; mcroberts1988; migue1970; porter1965; raynauld1966; raynauld1974; rcbb1969; sales1985; vaillancourt1980; vaillancourt1989,1,1,backward,Consensus,contexte,2,2,1,1,6,0.4958073221601594,0.23809523809523808,0.2891566265060241,0.341,"(Taylor, 1961)","L'industriel canadien-français et son milieu (Taylor, 1961)","Explication culturelle de la faible participation des Canadiens français à la direction de l'économie (entrevues avec 52 chefs d'entreprise, 1961).",
82,donovan2024,"Donovan, Patrick; Bell, Shannon",,2024,"Disparités de revenus entre les anglophones et les francophones du Québec / Income disparities between Quebec's English speakers and French speakers (Brief no 14, version révisée, août 2024)","QUESCREN, École des affaires publiques et communautaires, Université Concordia",report,fr/en,,https://www.concordia.ca/content/dam/artsci/scpa/quescren/docs/Brief_14_FRA.pdf,0.0,non trouvé dans Consensus (littérature grise),,,0.0,Consensus calibré (x2.41),0,0.0,0,,1,0,seed,WebSearch,inclus,2,2,1,1,6,0.0,0.9880952380952381,0.0,0.329,"(Donovan et Bell, 2024)","Disparités de revenus entre les anglophones et les fran... (Donovan et Bell, 2024)","Note de synthèse (révisée par V. Geloso et L. O'Donnell) sur les disparités de revenu anglophones/francophones au Québec à partir des recensements récents (2016, 2021) : revenu médian et taux de chômage défavorables aux anglophones, effets de composition (immigration, région).",64.0
83,vaillancourt2024b,"Vaillancourt, François; et al.",,2024,"La propriété des employeurs du Québec, 2023 : la place des francophones","CIRANO, Rapport de projet",report,fr,10.54932/kaoe9156,,0.0,Consensus/Semantic Scholar 2026-09,,,0.0,Consensus calibré (x2.41),0,0.0,0,,1,1,forward,Consensus,inclus,2,2,1,1,6,0.0,0.9880952380952381,0.0,0.329,"(Vaillancourt et et al., 2024)","La propriété des employeurs du Québec, 2023 : la place... (Vaillancourt et et al., 2024)",Statut socioprofessionnel/contrôle : 73 % de l'emploi au Québec relève d'employeurs sous contrôle canadien francophone en 2023 contre 47 % en 1961 ; contrôle non francophone 39 % → 20 % ; étranger 14 % → 7 %.,65.0
84,beland1987,"Béland, François",,1987,"A comparison of the mobility structures of francophones and anglophones in Quebec: 1954, 1964, 1974","Canadian Review of Sociology and Anthropology, 24(2), 232-251",article,en,10.1111/j.1755-618x.1987.tb01094.x,,2.0,Consensus/Semantic Scholar 2026-09,18.0,2026-09-03,18.0,Google Scholar,0,18.0,4,laczko1995; nakhaie1994; wanner1999; wanner2005,1,1,backward,Consensus,inclus,2,2,1,1,6,0.3731763344691098,0.5476190476190477,0.04819277108433735,0.323,"(Béland, 1987)","A comparison of the mobility structures of francophones... (Béland, 1987)","Statut socioprofessionnel : comparaison des structures de mobilité professionnelle des francophones et des anglophones du Québec à trois dates (1954, 1964, 1974).",66.0
85,vaillancourt2017,"Vaillancourt, François; Fontaine, Marc-Antoine",,2017,Les attributs linguistiques et le revenu de travail au Québec : cadre d'analyse et résultats pour 2010 et comparaison 1970-2010,"Dans M. Joanis et C. Montmarquette (dir.), Le Québec économique 6 : le défi des ressources minières, CIRANO / PUL (chapitre)",chapter,fr,,,,non indexé dans Consensus,0.0,2026-09-03,0.0,Google Scholar,0,0.0,4,oqlf2022; vaillancourt2018; vaillancourt2020; vaillancourt2024,1,2,backward,"bibliographies vaillancourt2020, vaillancourt2024 (WebSearch)",inclus,2,2,1,1,6,0.0,0.9047619047619048,0.04819277108433735,0.318,"(Vaillancourt et Fontaine, 2017)","Les attributs linguistiques et le revenu de travail au... (Vaillancourt et Fontaine, 2017)",Enquête nationale auprès des ménages 2011 (revenus 2010) : effets nets des attributs linguistiques comparés à 1970-2005 ; cadre de Vaillancourt (1980) ajoutant la langue comme troisième forme de capital humain à l'équation de Mincer.,67.0
86,vaillancourt1978,"Vaillancourt, François",,1978,Les attributs linguistiques et la détermination du revenu des hommes au Québec en 1971 : les groupes d'âge et d'éducation,"L'Actualité économique, 54(4)",article,fr,10.7202/800839ar,,2.0,Consensus/Semantic Scholar 2026-09,6.0,2026-09-03,6.0,Google Scholar,0,6.0,22,albouy2008; boulet1980; boulet1981; boulet1983; breton1978; carliner1981; chiswick1988; fenwick1982; grenier1984; grenier1987; lacroix1981; ram1980; shapiro1981; shapiro1982; shapiro1987; shapiro1997; vaillancourt1979; vaillancourt1980; vaillancourt1985; vaillancourt1988; vaillancourt1996; veltman1979,1,1,backward,Consensus,inclus,2,2,1,1,6,0.24662342190439154,0.44047619047619047,0.26506024096385544,0.317,"(Vaillancourt, 1978)","Les attributs linguistiques et la détermination du reve... (Vaillancourt, 1978)","En 1970, la connaissance de l'anglais est une compétence mieux rémunérée que celle du français au Québec ; rendements variant avec l'âge mais pas avec la scolarité.",68.0
